statisticName,value,count,date_time
HI2_SENT_LEMF,654,17,2025-02-05T13:16:37
HI3_SENT_LEMF,193191,13,2025-02-05T13:16:37
HI2_SENT_NOT_LEMF,654,1124,2025-02-05T13:16:37
HI3_SENT_NOT_LEMF,193190,333,2025-02-05T13:16:37
X2_DEDUPLICATED_CIMS,500,1653,2025-02-05T13:16:37
X3_DEDUPLICATED_CIMS,71925,480,2025-02-05T13:16:37
X2_RECEIVED_CIMS,717,4077,2025-02-05T13:16:37
X2_RECEIVED_5GC,283,764,2025-02-05T13:16:37
X3_RECEIVED_CIMS,90074,2146,2025-02-05T13:16:37
X3_RECEIVED_5GC,310510,171,2025-02-05T13:16:37
HI2_SENT,1308,1141,2025-02-05T13:16:37
HI3_SENT,386381,346,2025-02-05T13:16:37
X2_RECEIVED,1000,4841,2025-02-05T13:16:37
X3_RECEIVED,400584,2317,2025-02-05T13:16:37
X2_RECEIVED_MME_5GC,20,276,2025-02-05T13:16:37
X2_RECEIVED_SMF_5GC,260,423,2025-02-05T13:16:37
X3_RECEIVED_UPF_5GC,310510,171,2025-02-05T13:16:37
svc-catania-amf-x2-receiver-1-68fj4,1,9,2025-02-05T13:16:37
svc-catania-amf-x2-receiver-1-6d7xb,2,50,2025-02-05T13:16:37
svc-catania-amf-x2-receiver-1-l25xm,0,6,2025-02-05T13:16:37
svc-catania-cims-x2-receiver-2-ksqtz,303,1400,2025-02-05T13:16:37
svc-catania-cims-x2-receiver-2-kz9jd,119,1230,2025-02-05T13:16:37
svc-catania-cims-x2-receiver-2-mclh6,295,1447,2025-02-05T13:16:37
svc-catania-cims-x3-receiver-1-5xqh7,7246,306,2025-02-05T13:16:37
svc-catania-cims-x3-receiver-1-b9vsb,37090,429,2025-02-05T13:16:37
svc-catania-cims-x3-receiver-1-d6t6x,14491,412,2025-02-05T13:16:37
svc-catania-cims-x3-receiver-1-fsxwz,6204,378,2025-02-05T13:16:37
svc-catania-cims-x3-receiver-1-n94lk,21445,422,2025-02-05T13:16:37
svc-catania-cims-x3-receiver-1-pstrw,3598,199,2025-02-05T13:16:37
svc-catania-delivery-function-0,1107851,1499,2025-02-05T13:16:37
svc-catania-handover-manager-0,72425,2133,2025-02-05T13:16:37
svc-catania-mme-x2-receiver-1-85ddf,13,190,2025-02-05T13:16:37
svc-catania-mme-x2-receiver-1-mzgcn,1,36,2025-02-05T13:16:37
svc-catania-mme-x2-receiver-1-tfmw7,6,50,2025-02-05T13:16:37
svc-catania-smf-x2-receiver-1-8rnlk,75,116,2025-02-05T13:16:37
svc-catania-smf-x2-receiver-1-9hbd8,118,190,2025-02-05T13:16:37
svc-catania-smf-x2-receiver-1-jl48r,67,117,2025-02-05T13:16:37
svc-catania-upf-x3-receiver-1-5rh6d,48429,79,2025-02-05T13:16:37
svc-catania-upf-x3-receiver-1-dhxfg,234526,60,2025-02-05T13:16:37
svc-catania-upf-x3-receiver-1-md9g2,27555,32,2025-02-05T13:16:37
NEW_INDEX_COUNT,1,0,2025-02-05T13:16:37
RESET_INDEX_COUNT,7,0,2025-02-05T13:16:37
