statisticName,value,count,date_time
HI2_SENT_LEMF,776,17,2025-02-05T13:18:52
HI3_SENT_LEMF,183679,13,2025-02-05T13:18:52
HI2_SENT_NOT_LEMF,776,1125,2025-02-05T13:18:52
HI3_SENT_NOT_LEMF,183679,333,2025-02-05T13:18:52
X2_DEDUPLICATED_CIMS,739,1653,2025-02-05T13:18:52
X3_DEDUPLICATED_CIMS,70626,480,2025-02-05T13:18:52
X2_RECEIVED_CIMS,730,4078,2025-02-05T13:18:52
X2_RECEIVED_5GC,390,767,2025-02-05T13:18:52
X3_RECEIVED_CIMS,68329,2146,2025-02-05T13:18:52
X3_RECEIVED_5GC,196552,171,2025-02-05T13:18:52
HI2_SENT,1552,1142,2025-02-05T13:18:52
HI3_SENT,367358,346,2025-02-05T13:18:52
X2_RECEIVED,1120,4845,2025-02-05T13:18:52
X3_RECEIVED,264881,2317,2025-02-05T13:18:52
X2_RECEIVED_MME_5GC,33,276,2025-02-05T13:18:52
X2_RECEIVED_SMF_5GC,352,426,2025-02-05T13:18:52
X3_RECEIVED_UPF_5GC,196552,171,2025-02-05T13:18:52
svc-catania-amf-x2-receiver-1-68fj4,1,9,2025-02-05T13:18:52
svc-catania-amf-x2-receiver-1-6d7xb,4,50,2025-02-05T13:18:52
svc-catania-amf-x2-receiver-1-l25xm,0,6,2025-02-05T13:18:52
svc-catania-cims-x2-receiver-2-ksqtz,261,1401,2025-02-05T13:18:52
svc-catania-cims-x2-receiver-2-kz9jd,113,1230,2025-02-05T13:18:52
svc-catania-cims-x2-receiver-2-mclh6,356,1447,2025-02-05T13:18:52
svc-catania-cims-x3-receiver-1-5xqh7,7494,306,2025-02-05T13:18:52
svc-catania-cims-x3-receiver-1-b9vsb,13686,429,2025-02-05T13:18:52
svc-catania-cims-x3-receiver-1-d6t6x,17415,412,2025-02-05T13:18:52
svc-catania-cims-x3-receiver-1-fsxwz,4215,378,2025-02-05T13:18:52
svc-catania-cims-x3-receiver-1-n94lk,22348,422,2025-02-05T13:18:52
svc-catania-cims-x3-receiver-1-pstrw,3171,199,2025-02-05T13:18:52
svc-catania-delivery-function-0,1020792,1500,2025-02-05T13:18:52
svc-catania-handover-manager-0,71365,2133,2025-02-05T13:18:52
svc-catania-mme-x2-receiver-1-85ddf,30,190,2025-02-05T13:18:52
svc-catania-mme-x2-receiver-1-mzgcn,2,36,2025-02-05T13:18:52
svc-catania-mme-x2-receiver-1-tfmw7,1,50,2025-02-05T13:18:52
svc-catania-smf-x2-receiver-1-8rnlk,152,116,2025-02-05T13:18:52
svc-catania-smf-x2-receiver-1-9hbd8,108,191,2025-02-05T13:18:52
svc-catania-smf-x2-receiver-1-jl48r,92,119,2025-02-05T13:18:52
svc-catania-upf-x3-receiver-1-5rh6d,46598,79,2025-02-05T13:18:52
svc-catania-upf-x3-receiver-1-dhxfg,137668,60,2025-02-05T13:18:52
svc-catania-upf-x3-receiver-1-md9g2,12286,32,2025-02-05T13:18:52
